Modelo,Accuracy,Precision,Recall,F1-score,AUC ROC
XGBoost,0.9823788546255506,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9945507708665603
RandomForest,0.9823788546255506,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9961456671982988
LightGBM,0.9823788546255506,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9940191387559808
SVM,0.9559471365638766,0.75,0.6666666666666666,0.7058823529411765,0.9872408293460925
MLP,0.986784140969163,0.8571428571428571,1.0,0.9230769230769231,0.9952153110047848
Stacking,0.9823788546255506,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9962785752259437
